Date,Brand,GoldPrice
2025-01-01,SJC,83.5
2025-01-01,PNJ,85.02
2025-01-02,SJC,84.3
2025-01-02,PNJ,85.23
2025-01-03,SJC,84.5
2025-01-03,PNJ,85.37
2025-01-04,SJC,84.8
2025-01-04,PNJ,85.53
2025-01-05,SJC,85.3
2025-01-05,PNJ,85.63
2025-01-06,SJC,85.4
2025-01-06,PNJ,85.9
2025-01-07,SJC,85.6
2025-01-07,PNJ,86.01
2025-01-08,SJC,85.7
2025-01-08,PNJ,86.24
2025-01-09,SJC,85.8
2025-01-09,PNJ,86.26
2025-01-10,SJC,86
2025-01-10,PNJ,86.41
2025-01-11,SJC,86.1
2025-01-11,PNJ,86.67
2025-01-12,SJC,86.3
2025-01-12,PNJ,86.85
2025-01-13,SJC,86.4
2025-01-13,PNJ,87.09
2025-01-14,SJC,86.5
2025-01-14,PNJ,87.24
2025-01-15,SJC,86.8
2025-01-15,PNJ,87.36
2025-01-16,SJC,87
2025-01-16,PNJ,87.41
2025-01-17,SJC,87.2
2025-01-17,PNJ,87.66
2025-01-18,SJC,87.4
2025-01-18,PNJ,87.8
2025-01-19,SJC,87.5
2025-01-19,PNJ,87.96
2025-01-20,SJC,87.6
2025-01-20,PNJ,88.2
2025-01-21,SJC,87.8
2025-01-21,PNJ,88.34
2025-01-22,SJC,87.9
2025-01-22,PNJ,88.43
2025-01-23,SJC,88
2025-01-23,PNJ,88.63
2025-01-24,SJC,88.1
2025-01-24,PNJ,88.88
2025-01-25,SJC,88.2
2025-01-25,PNJ,88.94
2025-01-26,SJC,88.3
2025-01-26,PNJ,89.22
2025-01-27,SJC,88.5
2025-01-27,PNJ,89.32
2025-01-28,SJC,88.7
2025-01-28,PNJ,89.48
2025-01-29,SJC,88.8
2025-01-29,PNJ,89.75
2025-01-30,SJC,89
2025-01-30,PNJ,89.93
2025-01-31,SJC,89.2
2025-01-31,PNJ,89.92
2025-02-01,SJC,88.8
2025-02-01,PNJ,89.9
2025-02-02,SJC,89
2025-02-02,PNJ,90.13
2025-02-03,SJC,89.3
2025-02-03,PNJ,90.39
2025-02-04,SJC,89.8
2025-02-04,PNJ,90.77
2025-02-05,SJC,90
2025-02-05,PNJ,91.01
2025-02-06,SJC,90.3
2025-02-06,PNJ,91.13
2025-02-07,SJC,90.5
2025-02-07,PNJ,91.47
2025-02-08,SJC,90.6
2025-02-08,PNJ,91.7
2025-02-09,SJC,90.2
2025-02-09,PNJ,91.83
2025-02-10,SJC,90
2025-02-10,PNJ,91.98
2025-02-11,SJC,91.5
2025-02-11,PNJ,92.22
2025-02-12,SJC,92.8
2025-02-12,PNJ,92.49
2025-02-13,SJC,93.5
2025-02-13,PNJ,92.85
2025-02-14,SJC,92.5
2025-02-14,PNJ,92.93
2025-02-15,SJC,91.8
2025-02-15,PNJ,92.97
2025-02-16,SJC,91
2025-02-16,PNJ,92.96
2025-02-17,SJC,90.2
2025-02-17,PNJ,92.84
2025-02-18,SJC,91.5
2025-02-18,PNJ,92.79
2025-02-19,SJC,92
2025-02-19,PNJ,92.78
2025-02-20,SJC,92.3
2025-02-20,PNJ,92.69
2025-02-21,SJC,92
2025-02-21,PNJ,92.6
2025-02-22,SJC,92.5
2025-02-22,PNJ,92.45
2025-02-23,SJC,93
2025-02-23,PNJ,92.36
2025-02-24,SJC,92.8
2025-02-24,PNJ,92.32
2025-02-25,SJC,92.5
2025-02-25,PNJ,92.17
2025-02-26,SJC,92
2025-02-26,PNJ,92.18
2025-02-27,SJC,91.5
2025-02-27,PNJ,92.14
2025-02-28,SJC,91.2
2025-02-28,PNJ,92.07
2025-03-01,SJC,90
2025-03-01,PNJ,91.03
2025-03-02,SJC,90.1
2025-03-02,PNJ,90.96
2025-03-03,SJC,90.2
2025-03-03,PNJ,91.09
2025-03-04,SJC,90.4
2025-03-04,PNJ,91.23
2025-03-05,SJC,90.6
2025-03-05,PNJ,91.22
2025-03-06,SJC,90.7
2025-03-06,PNJ,91.25
2025-03-07,SJC,90.9
2025-03-07,PNJ,91.29
2025-03-08,SJC,91
2025-03-08,PNJ,91.37
2025-03-09,SJC,91.2
2025-03-09,PNJ,91.38
2025-03-10,SJC,91.4
2025-03-10,PNJ,91.55
2025-03-11,SJC,91.6
2025-03-11,PNJ,91.48
2025-03-12,SJC,91.8
2025-03-12,PNJ,91.56
2025-03-13,SJC,92
2025-03-13,PNJ,91.65
2025-03-14,SJC,92.1
2025-03-14,PNJ,91.57
2025-03-15,SJC,92
2025-03-15,PNJ,91.75
2025-03-16,SJC,92
2025-03-16,PNJ,91.66
2025-03-17,SJC,91.8
2025-03-17,PNJ,91.73
2025-03-18,SJC,91.6
2025-03-18,PNJ,91.8
2025-03-19,SJC,91.5
2025-03-19,PNJ,91.93
2025-03-20,SJC,91.4
2025-03-20,PNJ,91.96
2025-03-21,SJC,91.3
2025-03-21,PNJ,92.04
2025-03-22,SJC,91.5
2025-03-22,PNJ,92.07
2025-03-23,SJC,91.6
2025-03-23,PNJ,92.18
